State,County Type,County,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
Alabama,Metropolitan County,Autauga,54.0,1.0,7.0,0.0,46.0,221.0,46.0,143.0,32.0,1.0,2024
Alabama,Metropolitan County,Baldwin,137.0,0.0,4.0,0.0,133.0,170.0,23.0,142.0,5.0,2.0,2024
Alabama,Metropolitan County,Bibb,34.0,0.0,5.0,0.0,29.0,78.0,26.0,43.0,9.0,0.0,2024
Alabama,Metropolitan County,Blount,82.0,1.0,18.0,2.0,61.0,298.0,66.0,180.0,52.0,2.0,2024
Alabama,Metropolitan County,Calhoun,238.0,2.0,5.0,0.0,231.0,192.0,48.0,144.0,0.0,8.0,2024
Alabama,Metropolitan County,Chilton,64.0,2.0,5.0,2.0,55.0,419.0,181.0,189.0,49.0,4.0,2024
Alabama,Metropolitan County,Colbert,15.0,0.0,1.0,0.0,14.0,90.0,19.0,55.0,16.0,1.0,2024
Alabama,Metropolitan County,Elmore,41.0,2.0,3.0,0.0,36.0,314.0,105.0,188.0,21.0,1.0,2024
Alabama,Metropolitan County,Etowah,13.0,2.0,0.0,0.0,11.0,55.0,14.0,33.0,8.0,4.0,2024
Alabama,Metropolitan County,Geneva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Alabama,Metropolitan County,Greene,2.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,1.0,2024
Alabama,Metropolitan County,Henry,15.0,0.0,0.0,2.0,13.0,71.0,21.0,36.0,14.0,0.0,2024
Alabama,Metropolitan County,Houston,147.0,1.0,28.0,2.0,116.0,495.0,137.0,298.0,60.0,13.0,2024
Alabama,Metropolitan County,Jefferson,650.0,11.0,24.0,79.0,536.0,2725.0,663.0,1663.0,399.0,17.0,2024
Alabama,Metropolitan County,Lauderdale,95.0,1.0,14.0,0.0,80.0,274.0,41.0,191.0,42.0,0.0,2024
Alabama,Metropolitan County,Lawrence,19.0,0.0,0.0,3.0,16.0,50.0,11.0,25.0,14.0,1.0,2024
Alabama,Metropolitan County,Lee,216.0,5.0,26.0,6.0,179.0,539.0,80.0,391.0,68.0,3.0,2024
Alabama,Metropolitan County,Lowndes,16.0,0.0,0.0,0.0,16.0,15.0,1.0,14.0,0.0,0.0,2024
Alabama,Metropolitan County,Macon,10.0,6.0,1.0,0.0,3.0,12.0,5.0,6.0,1.0,0.0,2024
Alabama,Metropolitan County,Madison,286.0,8.0,30.0,9.0,239.0,1288.0,307.0,813.0,168.0,10.0,2024
Alabama,Metropolitan County,Mobile,265.0,6.0,15.0,13.0,231.0,800.0,189.0,474.0,137.0,8.0,2024
Alabama,Metropolitan County,Montgomery,80.0,2.0,14.0,11.0,53.0,390.0,46.0,293.0,51.0,0.0,2024
Alabama,Metropolitan County,Pickens,28.0,1.0,2.0,4.0,21.0,55.0,14.0,38.0,3.0,1.0,2024
Alabama,Metropolitan County,Russell,58.0,0.0,7.0,2.0,49.0,175.0,32.0,127.0,16.0,3.0,2024
Alabama,Metropolitan County,Shelby,68.0,0.0,0.0,2.0,66.0,33.0,18.0,14.0,1.0,0.0,2024
Alabama,Metropolitan County,St. Clair,79.0,1.0,12.0,4.0,62.0,334.0,178.0,129.0,27.0,1.0,2024
Alabama,Metropolitan County,Tuscaloosa,106.0,0.0,4.0,5.0,97.0,470.0,78.0,318.0,74.0,1.0,2024
Alabama,Metropolitan County,Walker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Alabama,Nonmetropolitan County,Barbour,11.0,0.0,1.0,2.0,8.0,15.0,4.0,9.0,2.0,0.0,2024
